alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
-30,-1.1128,0.35515,0.35448,0.1749,1,0.0011
-28,-1.172,0.26886,0.26787,0.1219,1,0.0048
-26,-1.3854,0.18159,0.17968,0.0551,1,0.0052
-24,-1.5737,0.11981,0.11699,0.0171,1,0.0052
-22,-1.6432,0.08449,0.08108,0.0043,1,0.0054
-20,-1.6622,0.05849,0.05465,0,1,0.0064
-18,-1.6248,0.04174,0.03708,0.0004,0.7899,0.007
-16,-1.5556,0.02916,0.02414,0.0038,0.7634,0.008
-14,-1.4512,0.02091,0.01569,0.009,0.7496,0.0093
-12,-1.3162,0.01517,0.00981,0.0139,0.7383,0.0116
-10,-1.1466,0.01213,0.00669,0.0182,0.7258,0.0154
-9,-1.0447,0.01104,0.00561,0.0181,0.7203,0.0184
-8,-0.9381,0.01009,0.00468,0.0173,0.7111,0.024
-7,-0.8278,0.00925,0.0039,0.0161,0.7059,0.0316
-6,-0.7154,0.00844,0.00318,0.0145,0.6942,0.05
-5,-0.6028,0.00742,0.00244,0.0128,0.6789,0.1136
-4.5,-0.5463,0.00684,0.00208,0.0118,0.669,0.1715
-4,-0.4886,0.0064,0.00179,0.0107,0.6471,0.2265
-3.5,-0.4331,0.00547,0.0013,0.0095,0.6151,0.3629
-3,-0.3734,0.00521,0.00113,0.0081,0.5947,0.4036
-2.5,-0.3134,0.00497,0.00104,0.0066,0.5772,0.459
-2,-0.2524,0.005,0.00103,0.0051,0.556,0.4705
-1.5,-0.1913,0.00517,0.00105,0.0036,0.5118,0.4736
-1,-0.1303,0.0053,0.00107,0.002,0.478,0.4792
-0.5,-0.0692,0.00533,0.00107,0.0005,0.4672,0.4838
0,-0.0081,0.00536,0.00109,-0.001,0.4627,0.4861
0.5,0.053,0.00541,0.00111,-0.0024,0.4569,0.488
1,0.1141,0.00546,0.00114,-0.0039,0.4523,0.489
1.5,0.1752,0.00548,0.00117,-0.0053,0.4469,0.4895
2,0.2361,0.00556,0.00122,-0.0067,0.4372,0.4898
2.5,0.2972,0.00557,0.00125,-0.0082,0.4323,0.492
3,0.3579,0.00565,0.0013,-0.0096,0.4152,0.4941
3.5,0.4135,0.00678,0.00178,-0.0109,0.2476,0.4959
4,0.468,0.00782,0.00228,-0.0117,0.107,0.498
4.5,0.5252,0.00828,0.00257,-0.0127,0.0638,0.4997
5,0.5828,0.00862,0.00282,-0.0137,0.0462,0.501
6,0.6976,0.00922,0.00335,-0.0155,0.0325,0.504
7.5,0.8659,0.01023,0.0043,-0.0177,0.0223,0.5152
9,1.0274,0.01132,0.00562,-0.0191,0.016,0.6117
10,1.1297,0.01233,0.00665,-0.0192,0.0142,0.6235
12,1.2972,0.01542,0.0098,-0.0145,0.011,0.6325
14,1.4371,0.02087,0.01542,-0.0099,0.0093,0.6418
16,1.5386,0.02931,0.02407,-0.004,0.0077,0.6509
18,1.6166,0.0406,0.03568,0.0003,0.0071,0.6732
20,1.6545,0.05797,0.05363,0.0009,0.0061,0.7801
22,1.646,0.08261,0.07875,-0.0032,0.0057,0.7869
24,1.5989,0.11439,0.11107,-0.0142,0.0055,0.794
26,1.4777,0.16206,0.15944,-0.0412,0.0054,0.7973
27,1.1427,0.25972,0.25818,-0.1113,0.0052,0.7946
